duration	q1.1	q2.1	q2.2	q2.3	q2.4	q2.5	q2.6	q2.6_1	q2.6_2	q2.6_3	q2.6_4	q2.6_5	q2.7	nq	q2.8_1	q2.8_2	q2.8_3	q2.8_4	q2.8_5	q2.8_6	q2.8_7	q2.8_8	q2.8_9	q2.8_10	q2.8_11	q2.8_12	q2.8_12_t	q2.9_1	q2.9_2	q2.9_3	q2.9_4	q2.9_5	q2.9_6	q2.9_7	q2.9_8	q2.9_9	q2.9_10	q2.9_11	q2.10	q3.2	q3.3	q3.4	q3.5	q3.6	q3.7	q3.8	q4.1	q4.2	q4.3	q4.4	q4.5	q4.6	q5.1	q5.2	q5.3	q5.4	q5.5	q5.6	q6.1	q6.2	q6.2_1	q6.2_2	q6.2_3	q6.2_4	q6.2_5	q6.2_6	q6.2_7	q6.2_8	q6.2_9	q6.2_10	age	q7.3	gender	minority	q7.5	q7.6	q7.7	career.stage	q7.7_7_t	q7.8	inst
408	1	2	2	4	2	2	3	NA	NA	1	NA	NA	3	2	4	1	3	1	1	1	1	1	2	1	3	NA	NA	2	2	4	4	3	5	1	4	1	2	NA	4	1	NS	NS	NS	NS	NS	1	5	1	5	5	4	5	2	1	1	1	1	1	3	1,2,8,9	1	1	NA	NA	NA	NA	NA	1	1	NA	43	2	M	5	163	163	4	Post-doctoral	NA	2	res_inst
310	1	3	2	2	1	4	3,6	NA	NA	1	NA	NA	2	1	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	2	2	3	5	5	5	1	1	5	1	5	4	5	5	1	1	1	1	1	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46	1	W	1	NA	NA	5	Senior non-permanent	NA	1	univ
335	1	5	4	4	2	4	1,3	1	NA	1	NA	NA	1	0	1	4	4	3	4	1	1	1	2	1	1	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	NS	NS	NS	NS	NS	NS	NS	2	4	2	4	5	5	3	1	1	1	1	1	9	1,5,6,7,8	1	NA	NA	NA	1	1	1	1	NA	NA	27	1	W	5	165	185	2	Pre-doctoral	NA	1	univ
1103	1	1	1	4	3	3	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	2	NS	NS	NS	NS	NS	NS	NS	3	3	3	4	4	4	1	2	1	1	1	1	2	8	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	26	1	W	5	163	163	2	Pre-doctoral	NA	1	univ
393	1	1	2	4	2	4	3	NA	NA	1	NA	NA	4	6	3	1	1	1	3	1	1	1	1	1	1	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	2	NS	NS	NS	NS	NS	NS	NS	2	2	3	4	4	4	1	1	1	1	1	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
291	1	1	1	4	1	2	3	NA	NA	1	NA	NA	2	1	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	3	4	4	4	4	3	4	4	3	4	NA	4	NS	NS	NS	NS	NS	NS	NS	3	1	3	3	4	4	2	3	1	2	1	2	3	1,5,9	1	NA	NA	NA	1	NA	NA	NA	1	NA	37	1	W	5	163	163	4	Post-doctoral	NA	1	univ
555	1	2	2	4	3	3	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	3	2	1	5	5	5	2	2	1	4	4	2	2	2	4	5	1	1	1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	1	W	NA	163	163	6	Senior permanent	NA	1	univ
4054	1	5	4	4	2	2	1	1	NA	NA	NA	NA	2	1	2	3	3	4	2	5	4	3	4	3	2	NA	NA	3	4	5	5	5	5	4	4	3	2	NA	3	NS	NS	NS	NS	NS	NS	NS	3	3	4	4	4	4	3	3	3	1	1	1	3	2,5,9	NA	1	NA	NA	1	NA	NA	NA	1	NA	33	1	W	5	163	163	4	Post-doctoral	NA	1	univ
1482	1	1	1	4	3	2	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	3	3	3	3	3	4	2	4	4	4	NA	7	NS	NS	NS	NS	NS	NS	NS	5	1	4	5	5	5	1	2	2	1	1	1	2	2,6,7,8	NA	1	NA	NA	NA	1	1	1	NA	NA	57	2	M	1	163	163	6	Senior permanent	NA	1	univ
397	1	1	2	4	2	4	1,3	1	NA	1	NA	NA	4	6	2	2	2	2	1	1	2	1	1	1	1	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	5	NS	NS	NS	NS	NS	NS	NS	4	2	4	4	4	5	1	2	1	2	1	1	2	1,2,5,6,7,8	1	1	NA	NA	1	1	1	1	NA	NA	42	2	M	5	163	163	6	Senior permanent	NA	1	univ
426	1	1	2	3	3	2	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	2	1	2	3	2	3	1	4	4	1	NA	4	NS	NS	NS	NS	NS	NS	NS	4	4	3	2	2	3	4	2	1	1	1	1	3	1,2,3,4,5,6,7,8,9,10	1	1	1	1	1	1	1	1	1	1	31	1	W	5	163	163	2	Pre-doctoral	NA	2	res_inst
397	1	2	2	4	1	2	1	1	NA	NA	NA	NA	1	0	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	2	4	4	1	1	1	5	4	1	NA	4	2	4	4	5	5	2	2	1	1	4	3	3	4	2	3	1	2	1	1	2	1,7	1	NA	NA	NA	NA	NA	1	NA	NA	NA	25	1	W	5	163	163	2	Pre-doctoral	NA	1	univ
334	1	2	2	4	2	3	1	1	NA	NA	NA	NA	3	2	4	1	1	1	3	1	1	1	3	1	1	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	1	2	1	5	5	5	2	1	4	2	2	4	4	4	2	2	2	3	3	3	3	1,2,3,4,5,6,7,8,9	1	1	1	1	1	1	1	1	1	NA	39	1	W	NA	163	163	4	Post-doctoral	NA	2	res_inst
189	1	1	2	4	1	3	1	1	NA	NA	NA	NA	1	0	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	NS	NS	NS	NS	NS	NS	NS	4	3	4	4	4	4	2	2	1	1	1	1	3	1,4,9	1	NA	NA	1	NA	NA	NA	NA	1	NA	28	1	W	5	138	138	2	Pre-doctoral	NA	2	res_inst
575	1	1	1	4	3	1	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	5	NS	NS	NS	NS	NS	NS	NS	4	2	3	4	4	4	3	2	2	3	1	1	3	1,5,6,7,8	1	NA	NA	NA	1	1	1	1	NA	NA	39	1	W	5	163	163	3	other	NA	4	private
710	1	5	4	4	3	4	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	5	NS	NS	NS	NS	NS	NS	NS	3	3	3	4	4	4	2	1	1	1	1	NA	2	5,8	NA	NA	NA	NA	1	NA	NA	1	NA	NA	29	1	W	5	163	163	2	Pre-doctoral	NA	2	res_inst
1408	1	2	2	4	2	2	1	1	NA	NA	NA	NA	3	2	4	1	2	1	1	3	1	3	2	1	2	NA	NA	1	1	1	1	1	1	1	1	1	1	1	5	3	NS	5	5	4	1	1	4	3	2	5	5	5	4	1	1	2	3	1	3	1,3,5,6,9	1	NA	1	NA	1	1	NA	NA	1	NA	33	2	M	5	163	163	4	Post-doctoral	NA	6	other
375	1	5	4	4	1	3	1,3	1	NA	1	NA	NA	3	2	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	2	NS	NS	NS	NS	NS	NS	NS	3	2	5	5	4	5	1	1	1	1	1	1	2	1,6,7,8	1	NA	NA	NA	NA	1	1	1	NA	NA	41	2	M	5	163	163	6	Senior permanent	NA	1	univ
443	1	2	2	4	3	4	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	5	2	2	4	5	4	2	1	4	3	4	3	3	5	1	1	1	1	1	1	2	1,4,6,7,8	1	NA	NA	1	NA	1	1	1	NA	NA	30	1	W	5	163	163	2	Pre-doctoral	NA	2	res_inst
404	1	2	2	4	1	2	1,3	1	NA	1	NA	NA	3	2	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	1	1	1	1	1	1	1	1	1	1	NA	5	2	1	3	5	4	1	1	5	1	3	4	4	4	2	1	1	1	1	1	2	2,6,8,10	NA	1	NA	NA	NA	1	NA	1	NA	1	50	2	M	5	163	163	6	Senior permanent	NA	1	univ
258	1	1	1	4	1	3	1	1	NA	NA	NA	NA	3	2	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	NS	NS	NS	NS	NS	NS	NS	4	4	3	5	4	4	2	2	2	1	1	1	3	1,2,4,5,8	1	1	NA	1	1	NA	NA	1	NA	NA	35	2	M	5	163	163	4	Post-doctoral	NA	1	univ
402	1	4	4	1	3	4	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	2	2	3	4	5	5	2	1	4	3	4	4	4	4	2	2	1	1	1	1	1	1,5,6,7,8	1	NA	NA	NA	1	1	1	1	NA	NA	39	1	W	5	138	138	5	Senior non-permanent	NA	1	univ
620	1	5	NA	NA	2	2	1	1	NA	NA	NA	NA	3	2	4	2	2	2	3	2	2	2	1	1	1	NA	NA	2	2	2	2	3	1	3	3	2	2	NA	2	NS	NS	NS	NS	NS	NS	NS	3	1	3	4	5	4	1	2	1	1	1	1	3	1,3,5,7	1	NA	1	NA	1	NA	1	NA	NA	NA	63	2	M	5	163	163	6	Senior permanent	NA	1	univ
596	1	5	4	4	2	3	3	NA	NA	1	NA	NA	1	0	2	4	3	4	4	1	3	3	3	4	1	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	NS	NS	NS	NS	NS	NS	NS	4	1	3	4	5	5	2	1	1	2	1	2	2	1,2,4,6,7,8,9,10	1	1	NA	1	NA	1	1	1	1	1	33	1	W	5	163	163	4	Post-doctoral	PhD working on ong	5	ngo
1516	1	2	2	4	2	2	1,3,5	1	NA	1	NA	1	1	0	4	3	3	3	4	4	3	5	4	5	1	NA	NA	3	1	4	4	3	1	3	4	3	3	NA	4	2	2	4	4	4	1	2	3	4	4	4	5	5	2	2	1	1	1	1	2	6,7,8,9	NA	NA	NA	NA	NA	1	1	1	1	NA	32	1	W	3	163	163	2	Pre-doctoral	NA	1	univ
443	1	2	2	4	2	2	1	1	NA	NA	NA	NA	1	0	1	5	2	3	2	1	5	1	5	2	1	NA	NA	5	1	5	5	1	5	3	5	1	3	NA	2	2	3	3	4	4	2	1	1	3	1	5	4	4	1	1	1	2	1	1	3	1,2,3,4,5,6,7,8,9,10	1	1	1	1	1	1	1	1	1	1	38	1	W	5	163	NA	5	Senior non-permanent	NA	1	univ
575	1	2	2	4	2	2	1	1	NA	NA	NA	NA	1	0	1	1	1	4	2	3	4	1	4	3	1	NA	NA	1	1	1	2	4	3	1	4	4	1	NA	1	3	NS	4	5	4	2	1	4	3	1	4	3	4	3	2	1	2	3	1	2	3,4,5,8,10	NA	NA	1	1	1	NA	NA	1	NA	1	31	1	W	5	163	163	4	Post-doctoral	NA	2	res_inst
572	1	2	2	4	3	4	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	5	3	NS	4	4	4	2	1	5	4	4	4	4	4	3	1	1	3	1	1	3	1,2,3,4,5,6,7,8,9,10	1	1	1	1	1	1	1	1	1	1	37	1	W	5	163	48	4	Post-doctoral	NA	1	univ
2143	1	2	2	4	3	3	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	2	1	3	3	4	2	2	2	4	2	2	4	4	3	3	1	2	1	2	1	1,2,3,4,5,6,7,8,9,10,11	1	1	1	1	1	1	1	1	1	1	41	1	W	NA	163	163	4	Post-doctoral	NA	6	other
355	1	1	2	4	3	3	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	5	NS	NS	NS	NS	NS	NS	NS	4	2	4	4	4	4	3	3	3	2	1	1	1	2,3,4,5,6,8,9,10	NA	1	1	1	1	1	NA	1	1	1	28	1	W	NA	163	163	2	Pre-doctoral	NA	2	res_inst
737	1	1	1	4	3	3	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	NS	NS	NS	NS	NS	NS	NS	2	2	3	5	4	5	1	2	1	1	1	1	2	1,5,6,10	1	NA	NA	NA	1	1	NA	NA	NA	1	25	1	W	5	163	82	2	Pre-doctoral	NA	2	res_inst
448	1	2	2	3	2	3	3	NA	NA	1	NA	NA	3	2	1	2	1	3	2	1	4	3	2	1	1	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	5	2	1	5	5	5	1	1	4	3	5	4	4	5	1	2	1	1	1	1	2	1,3,5,6,8,9	1	NA	1	NA	1	1	NA	1	1	NA	52	2	M	NA	163	163	6	Senior permanent	NA	1	univ
954	1	2	2	4	2	2	1,3	1	NA	1	NA	NA	1	0	3	3	4	3	1	3	3	4	3	3	1	NA	NA	3	4	3	3	3	3	4	4	3	2	NA	4	2	1	4	4	4	1	1	5	2	3	4	4	4	1	1	1	3	2	3	3	3,5	NA	NA	1	NA	1	NA	NA	NA	NA	NA	27	1	W	5	163	163	2	Pre-doctoral	NA	2	res_inst
400	1	1	1	4	2	1	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NA	NS	NS	NS	NS	NS	NS	NS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
539	1	2	2	4	2	2	1,3,5	1	NA	1	NA	1	1	0	4	4	3	4	5	3	4	4	4	5	2	NA	NA	3	2	3	1	3	2	3	2	2	1	NA	5	2	1	3	4	4	1	1	2	5	1	1	1	2	3	4	2	3	3	2	1	1,5,6,8,9,10	1	NA	NA	NA	1	1	NA	1	1	1	27	1	W	5	163	163	2	Pre-doctoral	NA	1	univ
876	1	2	2	4	2	3	1,3	1	NA	1	NA	NA	3	2	4	4	2	3	4	1	1	4	1	2	1	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	3	2	1	4	4	4	2	1	3	2	4	4	5	5	2	2	1	1	1	1	2	1,4,5,6,8	1	NA	NA	1	1	1	NA	1	NA	NA	29	2	M	5	163	65	4	Post-doctoral	NA	2	res_inst
464	1	3	2	2	1	3	3	NA	NA	1	NA	NA	3	2	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	3	2	1	4	4	4	2	1	5	1	5	5	5	5	1	1	1	1	1	1	2	1,6,8,10	1	NA	NA	NA	NA	1	NA	1	NA	1	63	1	W	5	163	163	6	Senior permanent	NA	1	univ
913	1	2	2	4	2	4	1,3,5	1	NA	1	NA	1	5	11	2	1	1	1	3	1	1	2	1	1	2	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	6	1	NS	NS	NS	NS	NS	1	4	1	3	4	5	5	3	2	1	2	1	1	3	1,5	1	NA	NA	NA	1	NA	NA	NA	NA	NA	30	2	M	5	61	61	4	Post-doctoral	NA	2	res_inst
328	1	1	1	4	1	2	1	1	NA	NA	NA	NA	2	1	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NS	NS	NS	NS	NS	NS	NS	3	3	4	5	5	5	1	2	1	2	1	1	9	1,3,5	1	NA	1	NA	1	NA	NA	NA	NA	NA	53	1	W	5	163	163	6	Senior permanent	NA	1	univ
424	1	1	3	4	3	4	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	3	NS	NS	NS	NS	NS	NS	NS	1	4	3	2	4	5	4	3	1	1	1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	1	W	5	163	163	1	Pre-doctoral	NA	1	univ
737	1	2	2	4	2	4	1	1	NA	NA	NA	NA	4	6	5	2	1	1	1	1	1	2	1	2	4	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	3	NS	3	4	4	2	1	4	3	3	4	4	4	2	1	1	1	1	1	1	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48	2	M	5	163	163	5	Senior non-permanent	NA	1	univ
536	1	5	4	4	2	3	1,3,6	1	NA	1	NA	NA	3	2	4	3	1	3	1	2	2	1	2	1	1	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	2	NS	NS	NS	NS	NS	NS	NS	4	2	2	4	4	4	2	3	2	3	2	1	3	1,2,3,6,8	1	1	1	NA	NA	1	NA	1	NA	NA	33	1	W	5	163	163	4	Post-doctoral	NA	2	res_inst
306	1	2	2	4	2	3	1	1	NA	NA	NA	NA	2	1	4	1	1	1	4	1	1	1	1	1	1	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	2	1	4	5	5	2	1	4	1	1	4	5	5	1	1	1	2	1	1	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46	1	W	5	163	163	6	Senior permanent	NA	1	univ
581	1	2	2	4	3	4	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	2	1	5	5	3	1	1	3	4	4	4	5	5	3	3	2	1	1	1	2	1,2,3,4,5,6,7,8,10	1	1	1	1	1	1	1	1	NA	1	37	2	M	5	163	185	4	Post-doctoral	NA	1	univ
479	1	1	2	4	2	4	5	NA	NA	NA	NA	1	3	2	4	1	1	1	5	1	1	5	1	1	1	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	5	NS	NS	NS	NS	NS	NS	NS	4	1	4	5	4	4	2	4	1	1	1	1	2	1,2,5,6,7,8	1	1	NA	NA	1	1	1	1	NA	NA	26	2	M	5	163	163	1	Pre-doctoral	NA	6	other
429	1	2	2	4	3	4	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	3	1	NS	NS	NS	NS	NS	1	4	2	4	4	4	4	1	1	1	1	1	1	2	1,2,6,8	1	1	NA	NA	NA	1	NA	1	NA	NA	32	1	W	5	163	163	4	Post-doctoral	NA	1	univ
394	1	2	2	4	2	4	4,5	NA	NA	NA	1	1	3	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	2	2	5	5	5	1	1	5	2	5	5	5	5	1	1	1	1	1	1	3	1,6,7,8,10	1	NA	NA	NA	NA	1	1	1	NA	1	35	1	W	5	163	163	6	Senior permanent	NA	1	univ
270	1	1	1	4	1	4	3	NA	NA	1	NA	NA	2	1	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	NS	NS	NS	NS	NS	NS	NS	4	1	5	4	5	5	3	1	1	1	1	1	3	1,4,5,6,7,8	1	NA	NA	1	1	1	1	1	NA	NA	47	1	W	5	61	61	6	Senior permanent	NA	2	res_inst
387	1	2	2	4	2	4	1	1	NA	NA	NA	NA	1	0	2	3	3	3	2	4	4	2	4	5	1	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	2	2	1	4	4	4	2	2	2	3	4	3	4	3	1	2	1	1	1	1	2	1,4,5	1	NA	NA	1	1	NA	NA	NA	NA	NA	26	2	M	2	163	163	2	Pre-doctoral	NA	1	univ
371	1	1	2	4	1	3	1	1	NA	NA	NA	NA	1	0	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	NS	NS	NS	NS	NS	NS	NS	4	1	3	2	2	4	2	1	1	1	1	1	2	5,6,7,8,9	NA	NA	NA	NA	1	1	1	1	1	NA	35	1	W	5	138	138	2	Pre-doctoral	NA	1	univ
531	1	5	4	4	3	4	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	6	NS	NS	NS	NS	NS	NS	NS	3	4	4	5	4	4	1	4	1	1	1	1	2	4,5,6,7,8,9	NA	NA	NA	1	1	1	1	1	1	NA	28	1	W	5	163	163	2	Pre-doctoral	NA	2	res_inst
404	1	2	2	4	1	4	1	1	NA	NA	NA	NA	3	2	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	2	2	5	5	4	3	1	4	4	3	4	4	5	1	1	1	1	1	1	2	6,7,8	NA	NA	NA	NA	NA	1	1	1	NA	NA	39	2	M	5	163	163	4	Post-doctoral	NA	1	univ
500	1	2	2	3	1	2	1	1	NA	NA	NA	NA	4	6	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	3	1	3	1	1	1	3	3	3	1	NA	6	2	2	5	5	5	2	1	5	1	5	5	5	5	1	1	1	1	1	1	3	1,6,7,8	1	NA	NA	NA	NA	1	1	1	NA	NA	46	1	W	5	163	163	6	Senior permanent	NA	2	res_inst
473	1	2	2	4	3	3	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	2	2	4	4	4	2	2	3	2	3	2	4	3	2	1	1	1	1	1	2	7,9	NA	NA	NA	NA	NA	NA	1	NA	1	NA	43	1	W	5	84	138	5	Senior non-permanent	NA	1	univ
340	1	2	2	4	1	4	1	1	NA	NA	NA	NA	2	1	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	7	2	1	5	5	5	1	1	4	1	4	4	4	4	3	2	1	1	1	1	2	1,2,3,6,8,9,10	1	1	1	NA	NA	1	NA	1	1	1	44	2	M	5	163	163	5	Senior non-permanent	NA	1	univ
489	1	2	2	4	3	4	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	2	3	4	4	5	2	2	3	4	3	5	4	5	1	1	1	1	1	1	2	5,6,7,8	NA	NA	NA	NA	1	1	1	1	NA	NA	28	2	M	5	163	163	2	Pre-doctoral	NA	2	res_inst
371	1	2	2	4	3	3	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	1	NS	NS	NS	NS	NS	2	3	3	5	3	4	4	2	2	1	1	1	1	2	1,8	1	NA	NA	NA	NA	NA	NA	1	NA	NA	47	1	W	5	163	163	6	Senior permanent	NA	1	univ
458	1	2	2	4	2	4	3	NA	NA	1	NA	NA	2	1	4	3	2	3	4	1	3	1	3	3	1	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	2	2	1	5	5	5	2	1	2	4	4	4	3	4	2	2	1	1	1	1	3	1,3,4,5,6,8,9	1	NA	1	1	1	1	NA	1	1	NA	49	1	W	5	163	163	5	Senior non-permanent	NA	1	univ
502	1	5	4	4	2	3	1	1	NA	NA	NA	NA	3	2	5	1	1	2	5	2	1	2	1	1	3	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	NS	NS	NS	NS	NS	NS	NS	4	1	4	4	5	4	2	1	1	1	1	1	3	1,2,5,6,7,8,9,10	1	1	NA	NA	1	1	1	1	1	1	51	1	W	5	163	163	6	Senior permanent	NA	2	res_inst
426	1	2	2	4	1	3	1	1	NA	NA	NA	NA	3	2	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	2	2	1	5	5	5	2	1	5	2	2	5	5	5	2	1	1	1	1	1	9	1,3,4,5,7,8,11	1	NA	1	1	1	NA	1	1	NA	NA	34	2	M	5	163	163	4	Post-doctoral	NA	2	res_inst
1262	1	2	2	4	2	2	1	1	NA	NA	NA	NA	3	2	1	2	1	4	1	1	1	4	1	2	1	NA	NA	1	1	1	1	1	1	1	1	1	1	NA	4	1	NS	NS	NS	NS	NS	1	4	1	5	5	5	5	1	1	1	1	1	1	3	4,10	NA	NA	NA	1	NA	NA	NA	NA	NA	1	31	2	M	NA	163	138	4	Post-doctoral	NA	1	univ
294	1	2	2	4	1	2	6	1	NA	NA	NA	NA	3	2	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	2	1	5	4	3	4	3	5	1	4	NA	1	2	2	3	5	3	2	1	5	1	5	5	5	5	1	2	1	3	3	3	3	2,4,6,7,8	NA	1	NA	1	NA	1	1	1	NA	NA	35	1	W	5	163	163	5	Senior non-permanent	NA	2	res_inst
1873	1	2	2	4	3	2	NS	NS	NS	NS	NS	NS	NS		NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	1	1	1	1	1	1	1	1	1	1	4	4	2	1	4	4	4	2	1	4	2	4	5	5	5	2	2	1	2	1	5	9	1,2,3,6,7,8,10	1	1	1	NA	NA	1	1	1	NA	1	36	2	M	5	163	163	4	Post-doctoral	NA	1	univ
536	1	2	2	4	2	3	1	1	NA	NA	NA	NA	1	0	1	2	4	3	4	1	2	3	3	4	1	NA	NA	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	4	2	1	5	5	4	2	1	3	2	3	4	4	4	2	2	1	1	1	1	3	5,9	NA	NA	NA	NA	1	NA	NA	NA	1	NA	42	1	W	5	163	163	5	Senior non-permanent	NA	1	univ
