talk.id;session;talk.type;date.time;date;time;schedule;speaker.sex;chair.sex;ontime;stop;duration;attendees;attendees.women;attendees.men;silence;chair.question;questions;total.questions;questions.women;questions.men;q1.sex;q1.duration;a1.duration;replicate;q2.sex;q2.duration;a2.duration;q2.replicate;q3.sex;q3.duration;a3.duration;q3.replicate;q4.sex;q4.duration;a4.duration;q4.replicate;q5.sex;q5.duration;a5.duration;q5.replicate;q6.sex;q6.duration;a6.duration;q6.replicate;q7.sex;q7.duration;a7.duration;q7.replicate
TS01.01;TS01;oral;05/02/2019 12:00;05/02/2019;12:00;morning;W;W;yes;no;13;30.5;22;8.5;yes;no;1;1;1;0;W;40.25;60.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS01.02;TS01;oral;05/02/2019 12:15;05/02/2019;12:15;morning;M;W;yes;no;11;28.5;21.5;7;no;no;1;1;1;0;W;14;26;yes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS01.03;TS01;oral;05/02/2019 12:30;05/02/2019;12:30;morning;W;W;yes;yes;15;34;25;9;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS01.04;TS01;oral;05/02/2019 12:45;05/02/2019;12:45;morning;W;W;no;yes;16;38;29;9;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS01.05;TS01;oral;05/02/2019 13:00;05/02/2019;13:00;morning;W;W;no;no;14;37;30;7;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS01.06;TS01;oral;05/02/2019 13:15;05/02/2019;13:15;morning;M;W;yes;no;14;40;30;10;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS01.07;TS01;oral;05/02/2019 16:00;05/02/2019;16:00;afternoon;M;W;yes;yes;15.66666667;39;24.66666667;14.33333333;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS01.08;TS01;oral;05/02/2019 16:15;05/02/2019;16:15;afternoon;W;W;yes;no;13.5;40.66666667;20.66666667;20;no;no;2;2;0;2;M;31.16666667;84.66666667;yes;M;29.33333333;65;yes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS01.09;TS01;invited;05/02/2019 16:30;05/02/2019;16:30;afternoon;W;W;yes;no;28.5;47;28.33333333;18.66666667;no;no;5;5;2;3;M;35.66666667;50.33333333;yes;W;20.16666667;55.33333333;NA;W;43;32;NA;M;42;71.33333333;yes;M;50.66666667;30.66666667;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS02.01;TS02;invited;05/02/2019 18:00;05/02/2019;18:00;evening;M;M;yes;no;28;40;21;19;yes;NA;1;1;0;1;M;20;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS03.01;TS03;invited;06/02/2019 12:00;06/02/2019;12:00;morning;M;M;yes;yes;31;96;54;42;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS03.02;TS03;oral;06/02/2019 12:30;06/02/2019;12:30;morning;M;M;yes;no;12;62;37;25;yes;yes.unique;1;1;0;1;M;9;34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS03.03;TS03;oral;06/02/2019 12:45;06/02/2019;12:45;morning;M;W;yes;no;13;50;28;22;no;no;1;1;1;0;W;10;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS03.04;TS03;oral;06/02/2019 13:00;06/02/2019;13:00;morning;M;W;yes;no;10;66;33;33;no;yes.unique;1;1;0;1;M;30;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS03.05;TS03;oral;06/02/2019 13:15;06/02/2019;13:15;morning;W;W;yes;no;12;66;43;23;no;yes.other;4;4;3;1;W;10;10;NA;W;5;17;NA;M;14;48;NA;W;7;17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS03.06;TS03;oral;06/02/2019 18:00;06/02/2019;18:00;evening;W;W;yes;no;12;33;21;12;no;no;2;2;1;1;W;11;17;NA;M;55;53;yes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS03.07;TS03;oral;06/02/2019 18:15;06/02/2019;18:15;evening;M;W;yes;no;12;29;21;8;no;no;2;2;1;1;W;5;31;NA;M;12;49;yes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
