talk.id;session;talk.type;date.time;date;time;schedule;speaker.sex;chair.sex;ontime;stop;duration;attendees;attendees.women;attendees.men;silence;chair.question;questions;total.questions;questions.women;questions.men;q1.sex;q1.duration;a1.duration;replicate;q2.sex;q2.duration;a2.duration;q2.replicate;q3.sex;q3.duration;a3.duration;q3.replicate;q4.sex;q4.duration;a4.duration;q4.replicate;q5.sex;q5.duration;a5.duration;q5.replicate;q6.sex;q6.duration;a6.duration;q6.replicate;q7.sex;q7.duration;a7.duration;q7.replicate
TS21.05;TS21;oral;05/02/2019 19:00;05/02/2019;19:00;evening;M;M;yes;no;13;45;30;15;no;no;1;1;0;1;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS21.06;TS21;oral;05/02/2019 19:15;05/02/2019;19:15;evening;W;M;yes;no;15;45;30;15;no;no;1;1;0;1;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS21.07;TS21;oral;05/02/2019 19:30;05/02/2019;19:30;evening;W;M;yes;no;13;31;16;15;no;no;2;2;0;2;M;NA;NA;NA;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS21.08;TS21;oral;05/02/2019 19:45;05/02/2019;19:45;evening;M;M;yes;no;13;31;16;15;no;no;1;1;0;1;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS21.09;TS21;oral;06/02/2019 12:00;06/02/2019;12:00;morning;W;M;yes;no;22;24;19;5;no;no;1;1;1;0;W;15;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS21.10;TS21;oral;06/02/2019 12:15;06/02/2019;12:15;morning;W;M;yes;no;15;24;19;5;no;no;1;1;0;1;M;10;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS21.11;TS21;oral;06/02/2019 12:30;06/02/2019;12:30;morning;W;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS21.12;TS21;oral;06/02/2019 12:45;06/02/2019;12:45;morning;W;M;yes;no;15;39;30;9;no;no;1;1;1;0;W;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS21.13;TS21;oral;06/02/2019 13:00;06/02/2019;13:00;morning;M;M;yes;no;15;32;23;9;no;no;4;4;3;1;W;30;NA;NA;W;NA;NA;NA;M;NA;NA;NA;W;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS21.15;TS21;oral;06/02/2019 18:00;06/02/2019;18:00;evening;W;M;yes;no;12;24;16;8;no;no;2;2;0;2;M;10;30;NA;M;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS21.16;TS21;oral;06/02/2019 18:15;06/02/2019;18:15;evening;W;M;yes;no;12;24;16;8;no;no;1;1;1;0;W;20;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS21.17;TS21;oral;06/02/2019 18:30;06/02/2019;18:30;evening;M;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS21.18;TS21;oral;06/02/2019 18:45;06/02/2019;18:45;evening;W;M;yes;no;12;30;19;11;no;no;2;2;1;1;W;20;40;NA;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS21.19;TS21;oral;06/02/2019 19:00;06/02/2019;19:00;evening;W;M;no;no;13;15;10;5;yes;yes.unique;1;1;0;1;M;20;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS21.20;TS21;oral;06/02/2019 19:15;06/02/2019;19:15;evening;W;M;no;no;13;10;3;7;yes;yes.other;3;3;1;2;M;20;40;NA;W;10;30;NA;M;60;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS22.01;TS22;invited;07/02/2019 12:00;07/02/2019;12:00;morning;W;W;yes;no;27;56;27;29;no;no;3;3;1;2;M;7;33;NA;W;13;25;NA;M;10;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS22.02;TS22;oral;07/02/2019 12:30;07/02/2019;12:30;morning;M;W;yes;no;13.5;76.5;43;33.5;yes;yes.unique;1;1;1;0;W;23.5;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS22.03;TS22;oral;07/02/2019 12:45;07/02/2019;12:45;morning;W;W;yes;no;10.66666667;76.33333333;41;35.33333333;no;no;2;2;1;1;W;78.33333333;128.3333333;yes;M;12.66666667;31.66666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS22.04;TS22;oral;07/02/2019 13:00;07/02/2019;13:00;morning;M;W;no;no;11;67;39.5;27.5;no;yes.last;5;5;4;1;W;11.5;4;NA;M;22;9;NA;W;8;26;NA;W;8.5;53;NA;W;11.5;22;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS22.05;TS22;oral;07/02/2019 13:15;07/02/2019;13:15;morning;M;NA;no;no;11;64.5;40.5;24;yes;yes.unique;1;1;1;0;W;6;11.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS22.06;TS22;oral;07/02/2019 15:00;07/02/2019;15:00;afternoon;W;W;yes;no;12;46;26;20;no;yes.other;4;4;2;2;M;16;60;NA;M;7;28;NA;W;18;48;NA;W;9;17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS22.07;TS22;oral;07/02/2019 15:15;07/02/2019;15:15;afternoon;W;W;no;no;12;65;36;29;no;no;3;3;0;3;M;11;13;NA;M;18;48;NA;M;13;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS22.08;TS22;oral;07/02/2019 15:30;07/02/2019;15:30;afternoon;W;W;no;no;14;55;31;24;NA;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS22.09;TS22;oral;07/02/2019 15:45;07/02/2019;15:45;afternoon;M;M;no;no;13;52;25;27;no;yes.unique;1;1;0;1;M;11;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS22.10;TS22;oral;07/02/2019 16:00;07/02/2019;16:00;afternoon;M;M;no;no;9;61;29;32;no;yes.other;4;4;3;1;W;13;20;NA;W;6;10;NA;M;5;14;NA;W;5;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS22.11;TS22;oral;07/02/2019 16:15;07/02/2019;16:15;afternoon;W;M;yes;no;10;45;26;19;no;yes.last;3;3;1;2;W;6;44;NA;M;15;20;NA;M;14;32;yes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
